Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
SWA1394,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 17:10:00,2017-02-11 17:54:00,0:44
N642PC,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KROW,Roswell Air Center,"Roswell, NM",2017-02-11 17:14:00,2017-02-11 17:59:00,0:45
DAL1380,B712,KSLC,Salt Lake City Intl,"Salt Lake City, UT",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 17:16:00,2017-02-11 18:28:00,1:12
AAL2610,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 17:46:00,2017-02-11 18:11:00,1:25
SKW5535,CRJ7,KIAH,Houston Bush Int'ctl,"Houston, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 17:49:00,2017-02-11 18:35:00,1:46
AMF1234,BE99,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 17:50:00,2017-02-11 19:26:00,1:36
51074426,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 17:50:00,2017-02-11 19:27:00,1:37
SWA5719,B737,KLAX,Los Angeles Intl,"Los Angeles, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 18:14:00,2017-02-11 20:36:00,1:21
SWA6599,B737,KHOU,William P Hobby,"Houston, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 18:16:00,2017-02-11 19:01:00,1:45
SWA5250,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 18:18:00,2017-02-11 19:15:00,0:57
