Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
SKW3405,E75L,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-09 20:28:00,2017-02-09 21:37:00,1:09
DAL1491,B752,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:35:00,2017-02-09 21:45:00,4:10
SWA3995,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:38:00,2017-02-09 20:30:00,0:51
SWA4428,B737,KSNA,John Wayne,"Santa Ana, CA",KSMF,Sacramento Intl,"Sacramento, CA",2017-02-09 20:39:00,2017-02-09 21:44:00,1:05
ASA505,B738,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-09 20:44:00,2017-02-09 22:52:00,2:08
BLK106,FA50,KSNA,John Wayne,"Santa Ana, CA",KPRC,Prescott Rgnl - Ernest a Love Fld,"Prescott, AZ",2017-02-09 20:52:00,2017-02-09 22:47:00,0:54
BLK100,GLF4,KPSP,Palm Springs Intl,"Palm Springs, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:55:00,2017-02-09 21:17:00,0:21
SWA578,B737,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-09 20:56:00,2017-02-09 22:47:00,0:51
N910VP,C750,KSNA,John Wayne,"Santa Ana, CA",KVNY,Van Nuys,"Van Nuys, CA",2017-02-09 20:57:00,2017-02-09 21:17:00,0:20
AAL2211,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:57:00,2017-02-09 21:48:00,2:50
UAL529,A320,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 20:58:00,2017-02-09 22:01:00,1:03
BLK110,CL30,KCAK,Akron-Canton Rgnl,"Akron, OH",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:59:00,2017-02-09 22:52:00,4:53
SWA4307,B737,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:00:00,2017-02-09 22:07:00,1:07
BLK39,GLF4,KSNA,John Wayne,"Santa Ana, CA",KVNY,Van Nuys,"Van Nuys, CA",2017-02-09 21:01:00,2017-02-09 21:17:00,0:16
SWA4093,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 21:06:00,2017-02-09 22:10:00,1:04
UAL1241,A320,KIAH,Houston Bush Int'ctl,"Houston, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:09:00,2017-02-09 22:09:00,3:00
SWA3909,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:12:00,2017-02-09 22:11:00,0:58
UAL1658,B737,KSNA,John Wayne,"Santa Ana, CA",KEWR,Newark Liberty Intl,"Newark, NJ",2017-02-09 21:18:00,2017-02-10 04:51:00,4:33
SWA1717,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:19:00,2017-02-09 22:01:00,0:42
SWA1059,B737,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:19:00,2017-02-09 22:23:00,2:04
BLK57,GLF4,KSNA,John Wayne,"Santa Ana, CA",KLGB,Daugherty Field,"Long Beach, CA",2017-02-09 21:21:00,2017-02-09 21:30:00,0:09
AAL1149,B738,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:22:00,2017-02-09 21:19:00,0:57
SWA3995,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-09 21:22:00,2017-02-09 22:16:00,0:54
SWA859,B737,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-09 21:30:00,2017-02-09 23:19:00,0:49
DAL1693,B712,KSLC,Salt Lake City Intl,"Salt Lake City, UT",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:33:00,2017-02-09 22:05:00,1:32
SWA151,B737,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 21:34:00,2017-02-09 22:35:00,0:00
SWA151,B737,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 21:34:00,2017-02-10 00:18:00,1:44
N244MD,E50P,KSNA,John Wayne,"Santa Ana, CA",CYVR,Vancouver Int'l,"Vancouver, British Columbia",2017-02-09 21:38:00,2017-02-10 00:41:00,3:03
SWA564,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:41:00,2017-02-09 22:38:00,0:57
SWA4345,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 21:41:00,2017-02-09 22:48:00,1:07
SWA4387,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-09 21:47:00,2017-02-09 22:41:00,0:54
HHG209,,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 21:53:00,2017-02-09 22:51:00,0:58
SWA1383,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 22:53:00,2017-02-09 22:47:00,0:54
N185SD,,KSNA,John Wayne,"Santa Ana, CA",L 33.76695 -117.74597,"Santa Ana, CA","Santa Ana, CA",2017-02-10 06:26:00,2017-02-10 06:31:00,0:05
SWA1302,B737,KSMF,Sacramento Intl,"Sacramento, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-10 06:28:00,2017-02-10 07:40:00,1:12
SKW5871,CRJ7,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-10 06:43:00,2017-02-10 07:54:00,1:11
